Number of Clusters,Delta (AM),Delta (OP),Delta (PM)
2,0.0,0.0,0.0
3,-1762875078845.2793,-2776479512404.5205,-5908601919331.107
4,-854813744127.9365,-1415855680660.6772,-2755544887883.868
5,-536018366458.3862,-844569282949.2944,-1646458522104.1362
6,-198934658174.48145,-321560500901.9785,-625304597775.2515
7,-157253205643.2058,-295132329556.468,-609155131519.4487
8,-175812708669.56543,-251745438797.05933,-515626340583.7778
9,-126381927863.05444,-201815159984.3911,-401449829939.2573
10,-114626745022.0592,-195570895231.0968,-363656583522.62427
11,-62326140114.12213,-104474822376.92747,-181327475197.43848
12,-44994615730.4834,-72031945081.69604,-146698268796.0088
13,-37041830397.52118,-52777415092.6106,-110771558715.34546
14,-27260294395.276066,-50718197915.09204,-85596543777.9646
15,-27795397036.48767,-38168184007.62573,-73622770140.60352
16,-19962883183.6756,-39432130372.82861,-81636926434.75415
17,-24532063141.128235,-30852986051.51416,-55821197705.3728
18,-18780224714.14325,-35734030930.40192,-69864043559.43103
19,-18297129698.47748,-25457897467.025024,-40021911848.90051
20,-16653246880.748293,-31745675748.35309,-60574475858.74756
21,-12715065125.806274,-22305993572.2005,-56545894529.01062
22,-14476223255.340149,-22954259010.2323,-36639367844.94983
23,-10694396524.916412,-19720708606.986023,-38009760910.31519
24,-10780180519.019745,-19427782777.305298,-33153169283.69226
25,-12757780491.298676,-18068786310.38477,-50880528967.02466
26,-9217816765.690796,-16802229646.448242,-32277746755.468506
27,-10807427629.369385,-14957844664.21222,-35687474235.22034
28,-6717338730.4991455,-7463987027.830872,-14664186310.799316
29,-8856737826.834167,-18904924937.202396,-21462246116.79553
30,-6109072835.57782,-6934507797.956055,-36368742763.283936
31,-7206944012.4339905,-12556262750.234314,-18244634127.230103
32,-5913356572.485504,-10039528322.380066,-16756525563.966309
33,-5446844301.780548,-10631731990.842987,-11778969561.677124
34,-7312160569.346741,-6771451543.426605,-17962205894.85309
