Number of Clusters,Sum of Squared Distances (AM),Sum of Squared Distances (OP),Sum of Squared Distances (PM)
2,4513822427538.426,7249596511341.44,14664936861647.45
3,2750947348693.1465,4473116998936.92,8756334942316.342
4,1896133604565.21,3057261318276.2427,6000790054432.474
5,1360115238106.8235,2212692035326.948,4354331532328.3374
6,1161180579932.3423,1891131534424.9695,3729026934553.086
7,1003927374289.1364,1595999204868.5017,3119871803033.637
8,828114665619.571,1344253766071.4424,2604245462449.8594
9,701732737756.5166,1142438606087.0513,2202795632510.602
10,587105992734.4574,946867710855.9543,1839139048987.9775
11,524779852620.33527,842392888479.027,1657811573790.5393
12,479785236889.8519,770360943397.3309,1511113304994.5305
13,442743406492.3307,717583528304.7203,1400341746279.185
14,415483112097.0546,666865330389.6283,1314745202501.2205
15,387687715060.56696,628697146382.0026,1241122432360.617
16,367724831876.89136,589265016009.174,1159485505925.8628
17,343192768735.7631,558412029957.6598,1103664308220.49
18,324412544021.6199,522677999027.2579,1033800264661.059
19,306115414323.1424,497220101560.2329,993778352812.1584
20,289462167442.3941,465474425811.87976,933203876953.4108
21,276747102316.5878,443168432239.67926,876657982424.4003
22,262270879061.24768,420214173229.44696,840018614579.4504
23,251576482536.33127,400493464622.46094,802008853669.1353
24,240796302017.31152,381065681845.1557,768855684385.443
25,228038521526.01285,362996895534.7709,717975155418.4183
26,218820704760.32205,346194665888.32263,685697408662.9498
27,208013277130.95267,331236821224.1104,650009934427.7295
28,201295938400.45352,323772834196.27954,635345748116.9302
29,192439200573.61932,304867909259.07715,613883502000.1346
30,186330127738.04156,297933401461.1211,577514759236.8507
31,179123183725.60754,285377138710.8868,559270125109.6206
32,173209827153.12204,275337610388.5067,542513599545.6543
33,167762982851.3415,264705878397.66373,530734629983.9772
34,160450822281.99475,257934426854.23712,512772424089.1241
