TAZ_1270,TAZ_250,TAZ_33,TAZ_15,CITY,NEIGHBOURH,DISTRIC,SUBDISTRIC,AREA
100590,2000243,300011,40000005,מעלה אדומים,כלי שיר ומצפה נבו,7,71,2381986
100977,2000069,300005,40000001,מועצה אזורית עמק הירדן,עמיעד אליפלט כורזים אלמגור אמנון כרכום,2,21,70385482
100353,2000129,300024,40000010,מודיעין-מכבים-רעות,יער מודיעין- צפונית למחלף פאתי מודיעין,4,43,7662526
101104,2000226,300031,40000014,באר שבע,"אוניברסיטת בן גוריון, מרכז רפואי סורוקה",6,62,866238
100716,2000033,300004,40000003,חיפה,נווה יוסף,3,31,576839
100014,2000165,300019,40000008,תל אביב,מעוז אביב,5,51,1736438
100818,2000077,300008,40000004,יוקנעם,נוף העמק,2,23,1189809
100631,2000019,300028,40000013,מחצבות שורק-נחם,מחצבות שורק-נחם,1,11,2897735
100345,2000130,300024,40000010,מודיעין-מכבים-רעות,ספדיה-צפון ומערב,4,43,1428325
100184,2000137,300014,40000006,רעננה,קרית דוד רמז,4,42,1247981
100638,2000023,300028,40000013,מוצעה אזורית מטה בנימין,מבוא חורון,7,71,17711940
100317,2000117,300013,40000006,נתניה,מרכז העיר (מזרח),4,41,233577
100599,2000023,300028,40000013,מועצה אזורית מטה יהודה,קריית ענבים מעלה החמישה בית נקופה הר אדר נווה אילן יד השמונה נטף,1,11,40626893
100540,2000010,300027,40000012,ירושלים,רחביה וקרית וולפסון,1,11,671335
100900,2000079,300003,40000002,ג'דיידה-מכר,השכונה הצפונית והשכונה הדרומית,2,24,4083218
100123,2000204,300020,40000009,גבעתיים,"גבעת רמב""ם",5,51,629516
100655,2000244,300011,40000005,ענתא,מחנה ענתות ענתא ואדי אל ביק אבו דאהוק,7,71,7943359
100375,2000210,300026,40000011,אשדוד,"רובע ו""ב וי""ג",6,61,1558485
101125,2000223,300031,40000014,באר שבע,שכונה ה',6,62,1076136
100427,2000141,300015,40000007,כפר קאסם,אזור תעשיה לב הארץ,4,42,4509188
100974,2000069,300005,40000001,ראש פינה,ראש פינה יסוד המעלה שדה אליעזר איילת השחר,2,21,58114819
100356,2000211,300026,40000011,אשדוד,אזור התעשיה סמוך לנמל,6,61,8101950
100881,2000073,300003,40000002,מועצה אזורית מטה אשר,שבי ציון רגבה לוחמי הגיטאות נס עמים,2,24,13100604
100488,2000169,300019,40000008,תל אביב,רכבת מרכז,5,51,247243
100457,2000220,300028,40000013,מועצה מקומית בני עייש,בני עיש,4,44,854180
100322,2000120,300013,40000006,נתניה,בן ציון ורמת חן,4,41,1666703
100247,2000106,300022,40000010,ראשון לציון,"אזור תעשיה מערב, מסחר ובילוי",4,44,649674
100124,2000204,300020,40000009,גבעתיים,ארלוזרוב ושיינקין,5,51,956957
100139,2000196,300021,40000009,בת ים,רוטשילד,5,51,909596
101103,2000240,300030,40000013,"תש""ן מסוף האשל","תש""ן מסוף האשל",6,62,11380044
100628,2000020,300028,40000013,מוצעה אזורית מטה יהודה,זנוח,1,11,1544747
100401,2000162,300012,40000006,מועצה מקומית אבן יהודה,אבן יהודה,4,41,8494165
100005,2000164,300019,40000008,תל אביב,"נופי ים, שיכון ל'",5,51,1615395
100693,2000036,300004,40000003,חיפה,בית קברות שדה יהושוע,3,31,1202246
101086,2000028,300004,40000003,חיפה,המכללה הטכנולוגית חיל האויר ושדה התעופה חיפה,3,31,2917052
100437,2000161,300024,40000010,מועצה אזורית חבל מודיעין,בית עריף,4,43,5393358
101170,2000240,300030,40000013,מועצה אזורית בני שמעון,בית קמה,6,62,5982620
100098,2000192,300020,40000009,רמת גן,אוניברסיטת בר אילן,5,51,520795
100407,2000160,300012,40000006,מועצה מקומית פרדסיה,פרדסיה וצור משה,4,41,4757878
100747,2000026,300004,40000003,נשר,חברת חשמל אתר קישון,3,31,867181
100923,2000097,300002,40000002,מועצה אזורית משגב,לבון חלוץ חרשים,2,24,8295627
100263,2000105,300022,40000010,ראשון לציון,רמז,4,44,647291
100706,2000032,300004,40000003,חיפה,"גן הבהאים, הדר (צפון - מזרח)",3,31,384179
100650,2000024,300028,40000013,מבשרת ציון,שכונה ד' ורכס חלילים,1,11,1496982
100738,2000035,300004,40000003,חיפה,רמת בגין,3,31,1592437
100790,2000043,300004,40000003,קרית אתא,הוסטל גלעם,3,31,832989
100715,2000069,300005,40000001,ראש פינה,נמל תעופה ראש פינה,2,21,4938070
100233,2000133,300024,40000010,לוד,גני אביב ונווה שלום,4,43,2765801
101254,2000245,300011,40000005,מועצה אזורית שומרון,ברקן קרית נטפים רבבה,7,71,7357946
101159,2000213,300029,40000013,אשקלון,נווה אילן ונאות אשקלון,6,61,1408699
