TAZV41,Taz 1270
5004,100243
1301,100020
4201,100130
1722,100041
2315,101265
3108,100470
7211,100341
2814,100174
2441,100096
3118,100302
8316,100385
6114,100316
8213,100478
1107,100009
8402,100355
2313,100123
3029,100192
8202,100381
1928,100051
3113,100295
2927,100140
5632,100282
6015,100394
4040,100221
8436,100365
6169,100328
4001,100198
2857,100153
2238,100117
1932,100051
7012,100469
2605,100104
1325,100025
8448,100376
6603,100403
3205,100058
6155,100324
5307,100257
1506,100035
2405,100084
3016,100183
2921,100143
2447,100095
5642,100388
2039,100059
4602,100223
5640,100286
5312,100245
6133,100320
5106,100231
