Unnamed: 0,Centroid-ID,Centroid-EX-ID,X,Y
285,13505082,2117.0,182758.30142021333,670884.6645689687
709,13505575,5112.0,189827.3592873176,650905.1674952572
57,13504854,1312.0,179357.81659857454,666058.2549282112
209,13505006,1928.0,180671.4409642898,662200.2237639552
397,13505194,2446.0,185224.15774272976,662658.8684782569
456,13505253,2814.0,180918.1964879429,658693.2351731843
856,17061770,5645.0,183397.2210746494,640506.7370539855
523,13505320,2907.0,176740.27965423037,659049.0802338731
326,13505123,2231.0,184074.2254473329,664954.0344947187
759,13505625,5315.0,178594.12029353343,654042.8516652406
818,13505685,5403.0,186000.31319429143,651515.1572453844
215,13505012,1934.0,181549.33976133968,661681.3873421554
219,13505016,1938.0,181718.47269360904,660960.6312397147
513,13505310,2871.0,177593.7104326772,656136.6401967225
728,13505594,5208.0,189157.51954130296,648584.0720303502
381,13505178,2430.0,183749.92704872775,664583.4572428261
46,13504843,1301.0,178921.63128677593,667403.5577415194
459,13505256,2817.0,179474.819563946,658769.6457046759
387,13505184,2436.0,184396.88762030264,663346.7665010486
663,13505528,4075.0,190455.6977233051,663153.5161812264
341,13505138,2306.0,182279.11190869604,664626.7544628454
429,13505226,2609.0,187240.21197082775,659369.2699934214
913,17061977,3122.0,193537.33936946327,675818.6094822214
758,13505624,5314.0,178343.1321885624,653632.8967348548
607,13505472,4019.0,189061.8713333829,666999.0779552326
772,13505638,5328.0,181761.551805476,652922.6698650143
172,13504969,1809.0,178821.56090826975,662619.7249461322
682,13505547,4505.0,190276.42089825845,659572.935486805
271,13505068,2103.0,184177.67718960217,673081.9696176075
157,13504954,1721.0,176140.43303844184,660352.7040711667
388,13505185,2437.0,184153.08589648816,663761.5657802622
414,13505211,2505.0,187063.17173107297,662820.5736268051
627,13505492,4039.0,192188.530994962,665340.4854147334
299,13505096,2204.0,185514.1171690781,667231.3957450604
283,13505080,2115.0,181793.30777579048,671609.9965810981
378,13505175,2427.0,181456.3777132428,665296.029434139
83,13504880,1408.0,179813.21041318608,666294.0033726759
393,13505190,2442.0,183326.24110678167,662792.610780249
185,13504982,1904.0,181076.05924601943,664739.6683055576
953,17062047,3106.0,194230.9295062289,677196.7659207307
841,17061727,5636.0,180496.39266012496,643803.8348497855
197,13504994,1916.0,181464.0159252092,662786.4068812811
17,13504814,1118.0,181259.20388890812,668380.3505774891
250,13505047,2030.0,184604.69565020813,674794.7905527689
275,13505072,2107.0,185784.448987397,672277.0297487236
139,13504936,1703.0,177670.34723580387,662158.9641371856
447,13505244,2805.0,182052.66034524803,659235.0632154185
72,13504869,1327.0,178283.86693209407,665154.1478733441
253,13505050,2033.0,185803.14184871985,674409.9402734947
164,13504961,1801.0,178314.64693844566,662932.6996743006
