Unnamed: 0,Section-ID,Limit-Speed,Road-Type,Length
24663,17458154,50.0,Residential,0.0893171351454513
354,700,50.0,Residential,0.0548823127316805
61,319,50.0,Residential,0.003388746765624
17806,411554,50.0,Primary,0.0100492792058196
9132,13258,50.0,Residential,0.1144674394650814
13972,305236,50.0,Primary,0.0081786988111494
24114,17453299,50.0,Secondary,0.0690542079159993
5514,7048,90.0,Motorway,0.5774560773675385
20509,10002227,50.0,Residential,0.008303977974921
16648,333093,50.0,Residential,0.0366335158514073
25460,17460857,50.0,Residential,0.0404201073810167
15019,315631,50.0,Primary,0.0034455512280553
25111,17459536,50.0,Residential,0.0947536513721752
12187,87826,50.0,Secondary,0.123793222513955
22375,13504434,50.0,Residential,0.0836355026739711
10181,15608,50.0,Residential,0.0792226398629158
2319,3325,50.0,Primary,0.1131255370782406
2982,4064,50.0,Residential,0.3090260729213883
25702,17462838,50.0,Residential,0.3323828102725456
22759,13821548,70.0,Primary,0.0137192396140678
17910,412267,50.0,Residential,0.0466059184000119
4511,5911,50.0,Primary,0.0255309837035233
17534,337778,40.0,Secondary,0.1282101202070112
21240,11002898,50.0,Primary,0.0391771121872145
17611,410503,50.0,Residential,0.0571462975948167
17477,337376,50.0,Primary,0.0138422440506468
25101,17459513,50.0,Residential,0.0283791766657276
11950,85576,50.0,Secondary,0.0284871293768988
24988,17459098,50.0,Residential,0.0639275902751567
24121,17453316,50.0,Secondary,0.1745214645582786
18502,415619,50.0,Secondary,0.0335012931224092
23313,16390364,50.0,Primary,0.5406898459751657
7439,10934,50.0,Residential,0.3951318095803369
16327,331818,50.0,Secondary,0.3798724244843109
5917,8711,50.0,Residential,0.0862513625765787
6618,9577,50.0,Residential,0.0516922094425291
5194,6680,50.0,Residential,0.107297775707791
3202,4308,50.0,Residential,0.1656793112545544
24240,17453681,50.0,Primary,0.1714033552750044
13706,100174,50.0,Primary,0.0222519936450208
16538,332569,50.0,Primary,0.6645804019799849
10658,75520,50.0,Residential,0.3875507120468948
20991,11001852,50.0,Residential,0.0241862078893628
18851,417437,50.0,Primary,0.0083123109826119
17206,336010,25.0,Residential,0.040830897168421
1531,2304,50.0,Residential,0.170433351452459
5200,6687,50.0,Residential,0.4230917539401803
18208,414111,50.0,Primary,0.0127973281255197
22936,14171589,50.0,Residential,0.0478396935304436
1861,2749,50.0,Secondary,0.0639155177048918
