Aimsun,Ex,Sim
18360789,2863,490
18360666,2431,373
18360365,1406,80
18361123,3001,543
18361027,5223,781
18361013,5209,767
18361054,5326,807
18361061,5333,814
18360533,2029,245
18361140,3017,557
18360804,2904,505
18360863,3315,625
18360466,1901,181
18360453,1806,168
18361046,5318,800
18361232,3128,596
18360637,2401,343
18361029,5301,783
18360919,4047,674
18360901,4029,656
18360669,2434,376
18360874,4002,632
18360802,2902,503
18360964,4503,718
18360313,1204,30
18360547,2043,258
18360586,2207,292
18360801,2901,502
18361145,3112,580
18361132,3025,564
18360444,1724,159
18361072,5344,825
18361066,5338,819
18360662,2427,369
18360894,4022,649
18360589,2210,295
18360648,2412,354
18360367,1408,82
18360571,2119,278
18360718,2614,424
18361216,42,916
18360505,2001,218
18360304,1121,21
18360904,4032,659
18361170,5627,897
18360658,2423,365
18360472,1907,187
18361006,5202,760
18360290,1107,7
18360861,3313,623
