State,Action,Reword
"(4,E69)",R8,-1.056842828072995
"(6,E150)",R7,-1.157717890166702
"(8,E175)",R3,-1.5448780060262477
"(10,E142)",R3,-100002.2962269784
"(6,E115)",R11,-1.6148208440558232
"(8,E42)",R5,-0.5130691303581155
"(7,E122)",R6,-1.3630818162938867
"(4,E71)",R9,-1.6129304476920343
"(1,E63)",R10,-1.5549057969821367
"(7,E78)",R8,-0.4083229836233695
"(3,E15)",R11,-1.4477491740721142
"(7,E176)",R1,-100001.89753010336
"(4,E31)",R11,-0.6027222265021509
"(6,E175)",INR6,-0.2399446812090397
"(3,E92)",INR3,-0.2486744684112763
"(4,E138)",R1,-100002.6904213275
"(11,E144)",R8,-0.5518276522505913
"(11,E168)",T,-0.236087200684485
"(3,E81)",R11,-1.4477491740721142
"(8,E108)",R3,-1.5448780060262477
"(5,E144)",R9,-0.648210746211926
"(4,E19)",R2,-100003.16035987897
"(10,E92)",R6,-0.6950283652164435
"(11,E176)",R9,-1.6128005090745514
"(2,E136)",R11,-100002.5502941929
"(4,E117)",R5,-1.1339673536973027
"(10,E112)",R6,-0.6950283652164435
"(11,E111)",R1,-100002.44267121912
"(8,E113)",R9,-0.8124205649596191
"(9,E8)",R2,-100002.10214798678
"(8,E88)",R6,-1.4376132128328805
"(6,E79)",R11,-1.6148208440558232
"(4,E100)",R5,-1.1339673536973027
"(6,E92)",R4,-100001.87432396854
"(2,E115)",R10,-1.5639640843478566
"(7,E120)",R11,-0.5282890093816612
"(4,E17)",R7,-1.1629185840640903
"(6,E118)",INR6,-0.2399446812090397
"(10,E116)",R9,-1.4527924367036409
"(5,E106)",T,-0.1739924441002885
"(8,E72)",R11,-0.5239852185743787
"(2,E76)",R5,-100002.29451166502
"(2,E14)",R5,-100002.29451166502
"(7,E79)",R6,-1.3630818162938867
"(7,E69)",R10,-0.707214423758997
"(8,E7)",R9,-0.8124205649596191
"(10,E82)",R8,-1.1584100172798717
"(10,E100)",R6,-0.6950283652164435
"(8,E59)",T,-0.1774637583850921
"(5,E21)",R9,-0.648210746211926
