State,Action
"(11,E110)",T
"(13,E124)",R10
"(8,E30)",R10
"(10,E18)",T
"(4,E175)",R10
"(1,E32)",R6
"(7,E164)",R10
"(10,E154)",T
"(1,E128)",R7
"(8,E82)",R10
"(8,E85)",R10
"(4,E155)",R10
"(7,E86)",R10
"(1,E188)",R7
"(4,E38)",R10
"(12,E55)",T
"(2,E3)",R11
"(2,E51)",R11
"(7,E172)",R10
"(13,E22)",R10
"(10,E179)",T
"(4,E28)",R10
"(3,E148)",R5
"(4,E24)",R10
"(11,E82)",T
"(9,E175)",R10
"(3,E116)",R7
"(6,E107)",R10
"(1,E135)",R7
"(6,E53)",R10
"(11,E143)",T
"(9,E177)",R10
"(13,E63)",R10
"(13,E68)",R10
"(9,E65)",R11
"(3,E145)",R5
"(6,E90)",R10
"(13,E85)",R10
"(12,E108)",T
"(8,E153)",R10
"(2,E54)",R11
"(2,E133)",R11
"(10,E5)",INR10
"(5,E58)",R10
"(3,E134)",R5
"(1,E21)",R6
"(9,E44)",R11
"(9,E93)",R10
"(13,E141)",R10
"(11,E51)",T
